username,email,mobile,password,fullName,role
priyanshu_acc,priyanshu@bikrikendra.com,9876543001,Admin@123,Priyanshu Pandey (Accounts),ACCOUNTS
sankalp_acc,sankalp.acc@bikrikendra.com,9876543002,Admin@123,Sankalp (Accounts),ACCOUNTS
rahul_im,rahul.im@bikrikendra.com,9876543003,Admin@123,Rahul Deo (Inv Mgr),INVENTORY_MANAGER
manjeet_im,manjeet.im@bikrikendra.com,9876543004,Admin@123,Manjeet (Inv Mgr),INVENTORY_MANAGER
dauleshwar_ih,dauleshwar.ih@bikrikendra.com,9876543005,Admin@123,Dauleshwar Kumar (Inv Helper),INVENTORY_HELPER
ravi_ih,ravi@bikrikendra.com,9876543006,Admin@123,Ravi (Inv Helper),INVENTORY_HELPER
rig_s1_admin,rig_s1_admin@bikrikendra.com,9000000001,Admin@123,RIG Shop1 Admin,ADMIN
rig_s1_supervisor,rig_s1_supervisor@bikrikendra.com,9000000002,Admin@123,RIG Shop1 Shop Supervisor,SHOP_SUPERVISOR
rig_s1_bo,rig_s1_bo@bikrikendra.com,9000000003,Admin@123,RIG Shop1 Billing Operator,BILLING_OPERATOR
rig_s1_cashier1,rig_s1_cashier1@bikrikendra.com,9000000004,Admin@123,RIG Shop1 Cashier,CASHIER
rig_s1_cashier2,rig_s1_cashier2@bikrikendra.com,9000000005,Admin@123,RIG Shop1 Cashier,CASHIER
rig_s2_admin,rig_s2_admin@bikrikendra.com,9000000006,Admin@123,RIG Shop2 Admin,ADMIN
rig_s2_supervisor,rig_s2_supervisor@bikrikendra.com,9000000007,Admin@123,RIG Shop2 Shop Supervisor,SHOP_SUPERVISOR
rig_s2_bo,rig_s2_bo@bikrikendra.com,9000000008,Admin@123,RIG Shop2 Billing Operator,BILLING_OPERATOR
rig_s2_cashier1,rig_s2_cashier1@bikrikendra.com,9000000009,Admin@123,RIG Shop2 Cashier,CASHIER
rig_s2_cashier2,rig_s2_cashier2@bikrikendra.com,9000000010,Admin@123,RIG Shop2 Cashier,CASHIER
yaj_s1_admin,yaj_s1_admin@bikrikendra.com,9000000011,Admin@123,YAJ Shop1 Admin,ADMIN
yaj_s1_supervisor,yaj_s1_supervisor@bikrikendra.com,9000000012,Admin@123,YAJ Shop1 Shop Supervisor,SHOP_SUPERVISOR
yaj_s1_bo,yaj_s1_bo@bikrikendra.com,9000000013,Admin@123,YAJ Shop1 Billing Operator,BILLING_OPERATOR
yaj_s1_cashier1,yaj_s1_cashier1@bikrikendra.com,9000000014,Admin@123,YAJ Shop1 Cashier,CASHIER
yaj_s1_cashier2,yaj_s1_cashier2@bikrikendra.com,9000000015,Admin@123,YAJ Shop1 Cashier,CASHIER
yaj_s2_admin,yaj_s2_admin@bikrikendra.com,9000000016,Admin@123,YAJ Shop2 Admin,ADMIN
yaj_s2_supervisor,yaj_s2_supervisor@bikrikendra.com,9000000017,Admin@123,YAJ Shop2 Shop Supervisor,SHOP_SUPERVISOR
yaj_s2_bo,yaj_s2_bo@bikrikendra.com,9000000018,Admin@123,YAJ Shop2 Billing Operator,BILLING_OPERATOR
yaj_s2_cashier1,yaj_s2_cashier1@bikrikendra.com,9000000019,Admin@123,YAJ Shop2 Cashier,CASHIER
yaj_s2_cashier2,yaj_s2_cashier2@bikrikendra.com,9000000020,Admin@123,YAJ Shop2 Cashier,CASHIER
sam_s1_admin,sam_s1_admin@bikrikendra.com,9000000021,Admin@123,SAM Shop1 Admin,ADMIN
sam_s1_supervisor,sam_s1_supervisor@bikrikendra.com,9000000022,Admin@123,SAM Shop1 Shop Supervisor,SHOP_SUPERVISOR
sam_s1_bo,sam_s1_bo@bikrikendra.com,9000000023,Admin@123,SAM Shop1 Billing Operator,BILLING_OPERATOR
sam_s1_cashier1,sam_s1_cashier1@bikrikendra.com,9000000024,Admin@123,SAM Shop1 Cashier,CASHIER
sam_s1_cashier2,sam_s1_cashier2@bikrikendra.com,9000000025,Admin@123,SAM Shop1 Cashier,CASHIER
sam_s2_admin,sam_s2_admin@bikrikendra.com,9000000026,Admin@123,SAM Shop2 Admin,ADMIN
sam_s2_supervisor,sam_s2_supervisor@bikrikendra.com,9000000027,Admin@123,SAM Shop2 Shop Supervisor,SHOP_SUPERVISOR
sam_s2_bo,sam_s2_bo@bikrikendra.com,9000000028,Admin@123,SAM Shop2 Billing Operator,BILLING_OPERATOR
sam_s2_cashier1,sam_s2_cashier1@bikrikendra.com,9000000029,Admin@123,SAM Shop2 Cashier,CASHIER
sam_s2_cashier2,sam_s2_cashier2@bikrikendra.com,9000000030,Admin@123,SAM Shop2 Cashier,CASHIER
ath_s1_admin,ath_s1_admin@bikrikendra.com,9000000031,Admin@123,ATH Shop1 Admin,ADMIN
ath_s1_supervisor,ath_s1_supervisor@bikrikendra.com,9000000032,Admin@123,ATH Shop1 Shop Supervisor,SHOP_SUPERVISOR
ath_s1_bo,ath_s1_bo@bikrikendra.com,9000000033,Admin@123,ATH Shop1 Billing Operator,BILLING_OPERATOR
ath_s1_cashier1,ath_s1_cashier1@bikrikendra.com,9000000034,Admin@123,ATH Shop1 Cashier,CASHIER
ath_s1_cashier2,ath_s1_cashier2@bikrikendra.com,9000000035,Admin@123,ATH Shop1 Cashier,CASHIER
ath_s2_admin,ath_s2_admin@bikrikendra.com,9000000036,Admin@123,ATH Shop2 Admin,ADMIN
ath_s2_supervisor,ath_s2_supervisor@bikrikendra.com,9000000037,Admin@123,ATH Shop2 Shop Supervisor,SHOP_SUPERVISOR
ath_s2_bo,ath_s2_bo@bikrikendra.com,9000000038,Admin@123,ATH Shop2 Billing Operator,BILLING_OPERATOR
ath_s2_cashier1,ath_s2_cashier1@bikrikendra.com,9000000039,Admin@123,ATH Shop2 Cashier,CASHIER
ath_s2_cashier2,ath_s2_cashier2@bikrikendra.com,9000000040,Admin@123,ATH Shop2 Cashier,CASHIER
upa_s1_admin,upa_s1_admin@bikrikendra.com,9000000041,Admin@123,UPA Shop1 Admin,ADMIN
upa_s1_supervisor,upa_s1_supervisor@bikrikendra.com,9000000042,Admin@123,UPA Shop1 Shop Supervisor,SHOP_SUPERVISOR
upa_s1_bo,upa_s1_bo@bikrikendra.com,9000000043,Admin@123,UPA Shop1 Billing Operator,BILLING_OPERATOR
upa_s1_cashier1,upa_s1_cashier1@bikrikendra.com,9000000044,Admin@123,UPA Shop1 Cashier,CASHIER
upa_s1_cashier2,upa_s1_cashier2@bikrikendra.com,9000000045,Admin@123,UPA Shop1 Cashier,CASHIER
upa_s2_admin,upa_s2_admin@bikrikendra.com,9000000046,Admin@123,UPA Shop2 Admin,ADMIN
upa_s2_supervisor,upa_s2_supervisor@bikrikendra.com,9000000047,Admin@123,UPA Shop2 Shop Supervisor,SHOP_SUPERVISOR
upa_s2_bo,upa_s2_bo@bikrikendra.com,9000000048,Admin@123,UPA Shop2 Billing Operator,BILLING_OPERATOR
upa_s2_cashier1,upa_s2_cashier1@bikrikendra.com,9000000049,Admin@123,UPA Shop2 Cashier,CASHIER
upa_s2_cashier2,upa_s2_cashier2@bikrikendra.com,9000000050,Admin@123,UPA Shop2 Cashier,CASHIER
ved_s1_admin,ved_s1_admin@bikrikendra.com,9000000051,Admin@123,VED Shop1 Admin,ADMIN
ved_s1_supervisor,ved_s1_supervisor@bikrikendra.com,9000000052,Admin@123,VED Shop1 Shop Supervisor,SHOP_SUPERVISOR
ved_s1_bo,ved_s1_bo@bikrikendra.com,9000000053,Admin@123,VED Shop1 Billing Operator,BILLING_OPERATOR
ved_s1_cashier1,ved_s1_cashier1@bikrikendra.com,9000000054,Admin@123,VED Shop1 Cashier,CASHIER
ved_s1_cashier2,ved_s1_cashier2@bikrikendra.com,9000000055,Admin@123,VED Shop1 Cashier,CASHIER
