username,password,qty_a,qty_b
arjun_csh,Admin@123,2,1
vishwajeet_csh,Admin@123,1,2
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
arjun_csh,Admin@123,2,1
vishwajeet_csh,Admin@123,1,2
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
arjun_csh,Admin@123,2,1
vishwajeet_csh,Admin@123,1,2
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
arjun_csh,Admin@123,2,1
vishwajeet_csh,Admin@123,1,2
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
arjun_csh,Admin@123,2,1
vishwajeet_csh,Admin@123,1,2
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
arjun_csh,Admin@123,2,1
deepak_csh,Admin@123,3,1
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
ritesh_csh,Admin@123,2,2
sahul_csh,Admin@123,4,1
shailesh_csh,Admin@123,1,3
