username,password,product_name_a,qty_a,product_name_b,qty_b,return_product_name,return_qty
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
vishwajeet_csh,Admin@123,Special Chyawanprash,1,BRAHMI OIL,2,Special Chyawanprash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
vishwajeet_csh,Admin@123,Special Chyawanprash,1,BRAHMI OIL,2,Special Chyawanprash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
vishwajeet_csh,Admin@123,Special Chyawanprash,1,BRAHMI OIL,2,Special Chyawanprash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
vishwajeet_csh,Admin@123,Special Chyawanprash,1,BRAHMI OIL,2,Special Chyawanprash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
vishwajeet_csh,Admin@123,Special Chyawanprash,1,BRAHMI OIL,2,Special Chyawanprash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
arjun_csh,Admin@123,Naranga Refreshing Bodywash,2,Lemongrass Green Tea,1,Naranga Refreshing Bodywash,1
deepak_csh,Admin@123,Triphala churna,3,Hingwashtak churna,1,Triphala churna,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
ritesh_csh,Admin@123,Adbhut Marag,2,Adhyatmik Nibandh part-3,2,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,4,Adhyatm ki oor badhe,1,Adhyatmik Nibandh part-1,1
shailesh_csh,Admin@123,Adhyatmik Nibandh part-2,1,Adhyatm cheta,3,Adhyatmik Nibandh part-2,1
