username,password,product_name,invalid_quantity
arjun_csh,Admin@123,Special Chyawanprash,99999
vishwajeet_csh,Admin@123,Sukrit Ayurveda Ashwagandhadi Churna,99999
deepak_csh,Admin@123,Triphala churna,99999
ritesh_csh,Admin@123,Amritvani,99999
sahul_csh,Admin@123,Ashtang yog,99999
shailesh_csh,Admin@123,AATMIK PRAKASH,99999
arjun_csh,Admin@123,BRAHMI OIL,99999
vishwajeet_csh,Admin@123,Naranga Refreshing Bodywash,99999
deepak_csh,Admin@123,Hingwashtak churna,99999
ritesh_csh,Admin@123,Aap sadafal,99999
sahul_csh,Admin@123,Anant ki yatra,99999
shailesh_csh,Admin@123,Amrit Jyoti,99999
arjun_csh,Admin@123,Lemongrass Green Tea,99999
vishwajeet_csh,Admin@123,Naranga Vitamin C Face Wash (Soft & Bright Skin with Pimple Control),99999
deepak_csh,Admin@123,Madhumehantak churna,99999
ritesh_csh,Admin@123,Antum k Swar,99999
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,99999
shailesh_csh,Admin@123,Adhyatm cheta,99999
arjun_csh,Admin@123,Sukrit Ayurveda Chandraprabha Vati,99999
vishwajeet_csh,Admin@123,Sukrit Ayurveda Punarnavadi Kwath,99999
deepak_csh,Admin@123,Herbal Tea,99999
ritesh_csh,Admin@123,Adbhut Marag,99999
sahul_csh,Admin@123,Adhyatmik Nibandh part-2,99999
shailesh_csh,Admin@123,Adhyatm niyantran,99999
arjun_csh,Admin@123,Sukrit Ayurveda Shivakshar Pachan Churna,99999
vishwajeet_csh,Admin@123,Sukrit Ayurveda Sitopaladi Churna,99999
deepak_csh,Admin@123,Mahanarayan tel,99999
ritesh_csh,Admin@123,Adhyatmik Nibandh part-3,99999
sahul_csh,Admin@123,Adhyatm ki oor badhe,99999
shailesh_csh,Admin@123,Adhyatm manas yog,99999
arjun_csh,Admin@123,Sukrit Ayurveda Yograj Guggul,99999
deepak_csh,Admin@123,Dashan sanskar manjan,99999
ritesh_csh,Admin@123,Adhyatm yog,99999
sahul_csh,Admin@123,Adhyatm vigyan,99999
shailesh_csh,Admin@123,Apni maati apna chandan,99999
ritesh_csh,Admin@123,Adhyatm sikhar,99999
sahul_csh,Admin@123,Atharto adhyatm jigyasa,99999
shailesh_csh,Admin@123,Avadhu amal,99999
