username,password,product_name,quantity,return_qty
arjun_csh,Admin@123,Special Chyawanprash,2,1
vishwajeet_csh,Admin@123,Sukrit Ayurveda Ashwagandhadi Churna,2,1
deepak_csh,Admin@123,Triphala churna,2,1
ritesh_csh,Admin@123,Amritvani,2,1
sahul_csh,Admin@123,Ashtang yog,2,1
shailesh_csh,Admin@123,AATMIK PRAKASH,2,1
arjun_csh,Admin@123,BRAHMI OIL,2,1
vishwajeet_csh,Admin@123,Naranga Refreshing Bodywash,2,1
deepak_csh,Admin@123,Hingwashtak churna,2,1
ritesh_csh,Admin@123,Aap sadafal,2,1
sahul_csh,Admin@123,Anant ki yatra,2,1
shailesh_csh,Admin@123,Amrit Jyoti,2,1
arjun_csh,Admin@123,Lemongrass Green Tea,2,1
vishwajeet_csh,Admin@123,Naranga Vitamin C Face Wash (Soft & Bright Skin with Pimple Control),2,1
deepak_csh,Admin@123,Madhumehantak churna,2,1
ritesh_csh,Admin@123,Antum k Swar,2,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,2,1
shailesh_csh,Admin@123,Adhyatm cheta,2,1
arjun_csh,Admin@123,Sukrit Ayurveda Chandraprabha Vati,2,1
vishwajeet_csh,Admin@123,Sukrit Ayurveda Punarnavadi Kwath,2,1
deepak_csh,Admin@123,Herbal Tea,2,1
ritesh_csh,Admin@123,Adbhut Marag,2,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-2,2,1
shailesh_csh,Admin@123,Adhyatm niyantran,2,1
arjun_csh,Admin@123,Sukrit Ayurveda Shivakshar Pachan Churna,2,1
vishwajeet_csh,Admin@123,Sukrit Ayurveda Sitopaladi Churna,2,1
deepak_csh,Admin@123,Mahanarayan tel,2,1
ritesh_csh,Admin@123,Adhyatmik Nibandh part-3,2,1
sahul_csh,Admin@123,Adhyatm ki oor badhe,2,1
shailesh_csh,Admin@123,Adhyatm manas yog,2,1
arjun_csh,Admin@123,Sukrit Ayurveda Yograj Guggul,2,1
deepak_csh,Admin@123,Dashan sanskar manjan,2,1
ritesh_csh,Admin@123,Adhyatm yog,2,1
sahul_csh,Admin@123,Adhyatm vigyan,2,1
shailesh_csh,Admin@123,Apni maati apna chandan,2,1
ritesh_csh,Admin@123,Adhyatm sikhar,2,1
sahul_csh,Admin@123,Atharto adhyatm jigyasa,2,1
shailesh_csh,Admin@123,Avadhu amal,2,1
