username,password,product_name,quantity
arjun_csh,Admin@123,Special Chyawanprash,2
vishwajeet_csh,Admin@123,Sukrit Ayurveda Ashwagandhadi Churna,1
deepak_csh,Admin@123,Triphala churna,5
ritesh_csh,Admin@123,Amritvani,4
sahul_csh,Admin@123,Ashtang yog,5
shailesh_csh,Admin@123,AATMIK PRAKASH,3
arjun_csh,Admin@123,BRAHMI OIL,3
vishwajeet_csh,Admin@123,Naranga Refreshing Bodywash,4
deepak_csh,Admin@123,Hingwashtak churna,2
ritesh_csh,Admin@123,Aap sadafal,3
sahul_csh,Admin@123,Anant ki yatra,2
shailesh_csh,Admin@123,Amrit Jyoti,2
arjun_csh,Admin@123,Lemongrass Green Tea,5
vishwajeet_csh,Admin@123,Naranga Vitamin C Face Wash (Soft & Bright Skin with Pimple Control),2
deepak_csh,Admin@123,Madhumehantak churna,4
ritesh_csh,Admin@123,Antum k Swar,4
sahul_csh,Admin@123,Adhyatmik Nibandh part-1,5
shailesh_csh,Admin@123,Adhyatm cheta,2
arjun_csh,Admin@123,Sukrit Ayurveda Chandraprabha Vati,3
vishwajeet_csh,Admin@123,Sukrit Ayurveda Punarnavadi Kwath,2
deepak_csh,Admin@123,Herbal Tea,5
ritesh_csh,Admin@123,Adbhut Marag,1
sahul_csh,Admin@123,Adhyatmik Nibandh part-2,5
shailesh_csh,Admin@123,Adhyatm niyantran,4
arjun_csh,Admin@123,Sukrit Ayurveda Shivakshar Pachan Churna,3
vishwajeet_csh,Admin@123,Sukrit Ayurveda Sitopaladi Churna,1
deepak_csh,Admin@123,Mahanarayan tel,3
ritesh_csh,Admin@123,Adhyatmik Nibandh part-3,5
sahul_csh,Admin@123,Adhyatm ki oor badhe,3
shailesh_csh,Admin@123,Adhyatm manas yog,2
arjun_csh,Admin@123,Sukrit Ayurveda Yograj Guggul,2
deepak_csh,Admin@123,Dashan sanskar manjan,4
ritesh_csh,Admin@123,Adhyatm yog,5
sahul_csh,Admin@123,Adhyatm vigyan,1
shailesh_csh,Admin@123,Apni maati apna chandan,3
ritesh_csh,Admin@123,Adhyatm sikhar,2
sahul_csh,Admin@123,Atharto adhyatm jigyasa,2
shailesh_csh,Admin@123,Avadhu amal,5
